"dataset_name","paired_analyses","mismatch_rate","issue1","issue1_count","issue1_rate","issue2","issue2_count","issue2_rate","issue3","issue3_count","issue3_rate","issue4","issue4_count","issue4_rate","issue5","issue5_count","issue5_rate"
"CD014872_pub2_data",NA,NA,"ci_mismatch",333,0.994,"exp_sd_le0",326,0.973,"ctrl_sd_le0",326,0.973,"sparse_events",229,0.684,"double_zero",226,0.675
"CD014889_pub2_data",NA,NA,"exp_sd_le0",26,1,"ctrl_sd_le0",26,1,"ci_mismatch",22,0.846,"sparse_events",5,0.192,"double_zero",4,0.154
"CD014923_pub2_data",NA,NA,"ci_mismatch",25,0.926,"sparse_events",21,0.778,"double_zero",16,0.593,"duplicate_study",15,0.556,"exp_sd_le0",11,0.407
"CD014932_pub2_data",NA,NA,"double_zero",53,1,"sparse_events",53,1,"ci_mismatch",52,0.981,"duplicate_study",18,0.34,"",0,NA
"CD014944_pub2_data",NA,NA,"ci_mismatch",18,1,"exp_sd_le0",16,0.889,"ctrl_sd_le0",16,0.889,"duplicate_study",8,0.444,"sparse_events",3,0.167
"CD014960_pub2_data",NA,NA,"ci_mismatch",17,1,"exp_sd_le0",15,0.882,"ctrl_sd_le0",15,0.882,"sparse_events",12,0.706,"double_zero",2,0.118
"CD014999_pub2_data",NA,NA,"ci_mismatch",21,1,"exp_sd_le0",17,0.81,"ctrl_sd_le0",17,0.81,"duplicate_study",9,0.429,"sparse_events",5,0.238
"CD015040_pub2_data",NA,NA,"double_zero",46,1,"sparse_events",46,1,"ci_mismatch",32,0.696,"duplicate_study",25,0.543,"",0,NA
"CD015042_pub2_data",NA,NA,"exp_sd_le0",10,0.833,"ctrl_sd_le0",10,0.833,"ci_mismatch",9,0.75,"double_zero",2,0.167,"sparse_events",2,0.167
"CD015060_pub2_data",NA,NA,"ci_mismatch",26,0.963,"sparse_events",16,0.593,"exp_sd_le0",14,0.519,"ctrl_sd_le0",14,0.519,"double_zero",13,0.481
"CD015064_pub2_data",NA,NA,"ci_mismatch",14,1,"exp_sd_le0",12,0.857,"ctrl_sd_le0",12,0.857,"sparse_events",5,0.357,"duplicate_study",3,0.214
"CD015066_pub2_data",NA,NA,"ci_mismatch",8,1,"double_zero",6,0.75,"sparse_events",6,0.75,"duplicate_study",4,0.5,"exp_sd_le0",2,0.25
"CD015083_pub2_data",NA,NA,"double_zero",1589,1,"sparse_events",1589,1,"exp_sd_le0",1589,1,"ctrl_sd_le0",1589,1,"duplicate_study",1349,0.849
"CD015101_data",NA,NA,"sparse_events",41,1,"double_zero",39,0.951,"ci_mismatch",39,0.951,"duplicate_study",27,0.659,"exp_sd_le0",3,0.073
"CD015112_pub3_data",NA,NA,"exp_n_le0",3,1,"ctrl_n_le0",3,1,"double_zero",3,1,"all_events",3,1,"sparse_events",3,1
"CD015120_pub2_data",NA,NA,"double_zero",66,1,"sparse_events",66,1,"exp_sd_le0",66,1,"ctrl_sd_le0",66,1,"ci_mismatch",66,1
"CD015122_pub2_data",NA,NA,"ci_mismatch",78,0.975,"exp_sd_le0",68,0.85,"ctrl_sd_le0",68,0.85,"sparse_events",28,0.35,"double_zero",21,0.262
"CD015124_pub2_data",NA,NA,"ctrl_n_le0",25,1,"double_zero",25,1,"sparse_events",25,1,"exp_sd_le0",25,1,"ctrl_sd_le0",25,1
"CD015145_pub2_data",NA,NA,"sparse_events",1,0.006,"exp_sd_le0",1,0.006,"",0,NA,"",0,NA,"",0,NA
"CD015158_pub2_data",NA,NA,"ci_mismatch",48,0.96,"double_zero",46,0.92,"sparse_events",46,0.92,"duplicate_study",22,0.44,"exp_sd_le0",10,0.2
"CD015229_pub2_data",NA,NA,"exp_sd_le0",2,0.036,"",0,NA,"",0,NA,"",0,NA,"",0,NA
"CD015252_pub2_data",NA,NA,"ci_mismatch",66,1,"exp_sd_le0",52,0.788,"ctrl_sd_le0",52,0.788,"duplicate_study",28,0.424,"sparse_events",17,0.258
"CD015284_pub2_data",NA,NA,"ci_mismatch",145,0.868,"double_zero",143,0.856,"sparse_events",143,0.856,"exp_sd_le0",25,0.15,"ctrl_sd_le0",25,0.15
"CD015313_pub2_data",NA,NA,"double_zero",3,1,"sparse_events",3,1,"ci_mismatch",3,1,"",0,NA,"",0,NA
"CD015326_pub2_data",NA,NA,"double_zero",433,1,"sparse_events",433,1,"exp_sd_le0",433,1,"ctrl_sd_le0",433,1,"variance_se_mismatch",241,0.557
"CD015328_pub2_data",NA,NA,"duplicate_study",21,0.072,"",0,NA,"",0,NA,"",0,NA,"",0,NA
