dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_base,MAFI_empirical,MAFI_simple
CD001321_pub7_data,5,10,0.334279996250128,2.75597884814605,0.0237851854227785,FALSE,FALSE,0,0.217782904679953,0.155997169357687,0.15
CD001396_pub4_data,1,49,-0.331325519568692,0,0,FALSE,TRUE,1,0.0200859415699031,0.0169907986039911,0.0102040816326531
CD001396_pub4_data,2,56,0.979288140663235,11.2069663923918,0.0305560308319271,FALSE,FALSE,0,0.0277680687732991,0.0224633042885901,0
CD001396_pub4_data,3,29,0.68875811379792,0,0,FALSE,FALSE,0,0.0101600549876996,9.36877947394248e-05,0
CD001396_pub4_data,4,23,0.840377136664556,0.000518840443825783,4.80493630124442e-06,FALSE,FALSE,0,0.00971309684051254,9.0594421096801e-05,0
CD001396_pub4_data,5,14,0.417545881113574,0,0,FALSE,TRUE,1,0.18613239207381,0.267345069447794,0.197142857142857
CD001396_pub4_data,6,21,0.673085409578839,0,0,FALSE,FALSE,0,0.00733631109945417,6.76495165884773e-05,0
CD001396_pub4_data,7,8,1.6825667888851,0,0,FALSE,FALSE,0,0.211228848262435,0.180287967134971,0.18
CD001396_pub4_data,10,16,0.994250136462323,0,0,FALSE,FALSE,0,0.0696078168609288,0.0600885955021947,0.06
CD001396_pub4_data,11,13,1.18664941685441,0,0,FALSE,FALSE,0,0.120658650174688,0.105144391384224,0.105
CD001396_pub4_data,12,19,0.721877632800247,0,0,FALSE,FALSE,0,0.0271226431325422,0.0151117851923908,0.015
CD001396_pub4_data,13,10,0.872398756747809,0,0,FALSE,TRUE,1,0.280552545379221,0.39824590998046,0.3
CD001396_pub4_data,14,26,0.234223902239026,6.74410670189875,0.0326236303887714,FALSE,TRUE,1,0.0795598007531904,0.0455983761307401,0.0192307692307692
CD001396_pub4_data,15,8,-0.333554005017934,0,0,FALSE,FALSE,0,0.187546743284859,0.180069589951696,0.18
CD001396_pub4_data,16,7,-0.19972890160598,0,0,FALSE,FALSE,0,0.293242889168183,0.195524485368386,0.195
CD001396_pub4_data,17,3,-0.448234716936244,0,0,FALSE,FALSE,0,0.290259025077104,0.255325130160037,0.255
CD001396_pub4_data,18,7,-0.179512118301563,0,0,FALSE,FALSE,0,0.234967214961797,0.195241401621412,0.195
CD001396_pub4_data,19,30,0.849725194880363,2.62281030583522,0.00459883206961076,FALSE,FALSE,0,0.00979874705070085,0.00528760585444314,0
CD001396_pub4_data,20,18,-0.0448480949907228,0,0,TRUE,FALSE,1,0.0613017850400422,0.0686550632864954,0.0577777777777778
CD001431_pub6_data,1,437,0.0878065725772917,70.1262018089139,0.562929254600842,FALSE,FALSE,0,0.142232907534368,0.140270666220209,0
CD001431_pub6_data,2,377,0.201016606357917,83.2619278731533,0.545088485292552,FALSE,FALSE,0,0.168802855181695,0.166544870832502,0
