dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,DFI_rate,SFI_rate,CFI_rate,MAFI_core,het_penalty,k_penalty,MAFI,MAFI_class
CD007784_pub3_data,1,OR,16,-0.409224907934741,0.0496079282346538,1.59480259815929e-16,-0.50645466062231,-0.311995155247172,0.00897088389961971,31.8908405798448,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0331362226826389,0.0114038315549319,10,0.194459505375138,0.0103963883454905,0,0,Robust,0,0,0,0.00497043340239584,0.0637816811596896,0.06,0.128752114562085,Robust
CD007784_pub3_data,2,OR,16,-0.193261483635532,0.074097306247319,0.00910165644017624,-0.338489535231712,-0.0480334320393525,0.0235180947230766,46.5397052806464,TRUE,FALSE,0,FALSE,0,loss,TRUE,1,0.0464264914761749,0.0145034093324082,12,0.29045610319236,0.022700335425048,1,0,Low Fragility,0,0,0.0625,0.0194639737214262,0.0930794105612928,0.06,0.172543384282719,Low Fragility
CD007784_pub3_data,3,OR,3,-0.409956491981022,0.155332965298968,0.00830992082288206,-0.71440350957881,-0.105509474383235,0,0,TRUE,TRUE,1,TRUE,1,loss,TRUE,1,1.12156230886184,0.379530585682038,3,0.608894035195575,1.45276445913902,3,0.333333333333333,High Fragility,0.333333333333333,0.333333333333333,0.333333333333333,0.433333333333333,0,0.255,0.688333333333333,High Fragility
CD007784_pub3_data,4,OR,9,-0.386859890621305,0.122030339268708,0.00152337014367287,-0.626034960609176,-0.147684820633434,0.0225779279153571,17.8645062206912,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.173063528330417,0.0365875852037726,5,0.478350139975742,0.0539278819912346,0,0,Robust,0,0,0,0.0259595292495626,0.0357290124413824,0.165,0.226688541690945,Low Fragility
CD007784_pub3_data,5,OR,12,-0.449738540971966,0.127977251029463,0.000441069092941321,-0.700569343830154,-0.198907738113778,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0758684814143706,0.0266758523721618,12,0.501661605716376,0.0296075832595737,0,0,Robust,0,0,0,0.0113802722121556,0,0.12,0.131380272212156,Robust
CD007784_pub3_data,6,OR,8,-0.0980084826641222,0.424632481947798,0.817464132841932,-0.93027285394766,0.734255888619416,0.929984459155873,73.9756878781502,FALSE,TRUE,2,FALSE,0,gain,TRUE,1,0.360481302264347,0.137411091948778,8,1.66452874256708,0.278576672576086,2,0.25,Moderate Fragility,0.25,0,0.125,0.179072195339652,0.1479513757563,0.18,0.507023571095953,High Fragility
CD007784_pub3_data,7,OR,4,-0.54927952054881,0.163419571418771,0.000776155164007376,-0.869575994898571,-0.228983046199048,0,0,TRUE,FALSE,0,TRUE,1,loss,FALSE,0,0.0950239803482365,0.0373864078517313,2,0.640592948699523,0.164710331044706,1,0.25,Low Fragility,0,0.25,0,0.101753597052235,0,0.24,0.341753597052235,Moderate Fragility
CD007784_pub3_data,9,OR,3,-0.0340903369317026,0.0531839181536573,0.521529458177021,-0.138328901069597,0.0701482272061916,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,1,0.40649912962118,0.136202064927034,3,0.208477128275788,0.912230476429377,1,0,Low Fragility,0,0,0.333333333333333,0.127641536109844,0,0.255,0.382641536109844,Moderate Fragility
CD007784_pub3_data,11,OR,18,-0.0943895179685813,0.476439214354745,0.842955478291547,-1.02819321892644,0.839414182989277,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0431171715154129,0.00963219839863616,3,1.86760740191572,0.0541452946203827,0,0,Robust,0,0,0,0.00646757572731194,0,0.03,0.0364675757273119,Robust
CD007784_pub3_data,12,OR,7,-0.0431090670801897,0.764297586567652,0.955020360298174,-1.54110481022367,1.45488667606329,0,0,FALSE,TRUE,1,FALSE,0,gain,FALSE,0,0.0443054522416863,0.0159913101764856,6,2.99599148628696,0.240051046889746,1,0.142857142857143,Low Fragility,0.142857142857143,0,0,0.0637886749791101,0,0.195,0.25878867497911,Low Fragility
