dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_5comp,MAFI_3comp,MAFI_empirical,MAFI_simple,class_5comp,class_simple,agree
CD011858_pub2_data,1,20,-0.263616058631317,52.213953060009,1.21614145897115,FALSE,FALSE,0,0.193840636426331,0.104427906120018,0.104941170920194,0,Low,Robust,FALSE
CD011858_pub2_data,2,14,-0.138450709022346,4.81178921590384,0.0641217096146589,,,,,,,,,,
CD011858_pub2_data,3,9,-0.193427088063499,0,0,FALSE,FALSE,0,0.2595874745448,0.165,0.165519992044565,0.165,Low,Low,TRUE
CD011858_pub2_data,4,5,-0.0277969665835258,0,0,TRUE,FALSE,1,0.454718713344035,0.485,0.503276401156784,0.425,Moderate,Moderate,TRUE
CD011858_pub2_data,5,4,-0.0751223433739202,0,0,TRUE,FALSE,1,0.546990611403151,0.4025,0.414888158901589,0.365,High,Moderate,FALSE
CD011858_pub2_data,6,4,0.0469976973911156,0,0,TRUE,FALSE,1,0.607843423794049,0.565,0.588300590082042,0.49,High,Moderate,FALSE
CD011858_pub2_data,7,3,0.499287189351445,0,0,FALSE,FALSE,0,0.380736543202159,0.255,0.255727860370607,0.255,Moderate,Low,FALSE
CD011858_pub2_data,8,3,-0.0536182902448799,0,0,TRUE,FALSE,1,0.631894260806511,0.471666666666667,0.487967818446045,0.421666666666667,High,Moderate,FALSE
CD011858_pub2_data,9,4,-0.00676647343778508,0,0,TRUE,FALSE,1,0.52339237862043,0.4025,0.414730679870674,0.365,High,Moderate,FALSE
CD011866_pub3_data,1,48,-0.287356541171821,40.6081584840119,0.123774969688037,FALSE,FALSE,0,0.0867878710620101,0.0812163169680238,0.0812534978428586,0,Robust,Robust,TRUE
CD011866_pub3_data,2,19,0.284111820728861,36.1504347830663,0.118104022010335,FALSE,TRUE,1,0.298883719337402,0.463616659039817,0.566049819971153,0.304473684210526,Low,Moderate,FALSE
CD011866_pub3_data,3,16,0.410528094172718,64.7440234441572,0.35587500725245,FALSE,TRUE,1,0.422322256190673,0.595738046888314,0.706348802372481,0.3725,Moderate,Moderate,TRUE
CD011866_pub3_data,4,17,0.743346934807606,63.7670953183753,0.440626007201591,FALSE,FALSE,0,0.187311520208581,0.172534190636751,0.172632804781374,0.045,Low,Robust,FALSE
CD011866_pub3_data,5,9,0.55804630332189,16.4505667086493,0.139876571661956,FALSE,TRUE,1,0.289842563927874,0.270123355639521,0.290124818490961,0.220555555555556,Low,Low,TRUE
CD011866_pub3_data,6,11,0.0180951837029906,0,0,TRUE,FALSE,1,0.225552236299076,0.253181818181818,0.261427078350648,0.225909090909091,Low,Low,TRUE
CD011866_pub3_data,7,19,-0.0326107764829649,0,0,TRUE,FALSE,1,0.0665943507909949,0.083421052631579,0.0881890812444125,0.0676315789473684,Robust,Robust,TRUE
CD011866_pub3_data,8,10,-0.161965764134639,0,0,FALSE,FALSE,0,0.165875121904306,0.15,0.150105940086115,0.15,Low,Robust,FALSE
CD011866_pub3_data,9,6,-0.273591886860012,0,0,FALSE,FALSE,0,0.283675330540899,0.21,0.210436049364081,0.21,Low,Low,TRUE
CD011885_pub2_data,1,12,0.565069109229257,31.2434085847624,0.177136468246585,FALSE,TRUE,1,0.320562262373519,0.399153483836191,0.458238627503441,0.286666666666667,Moderate,Low,FALSE
CD011885_pub2_data,2,11,-0.198298873478758,0,0,FALSE,FALSE,0,0.224655867975484,0.135,0.135476970635927,0.135,Low,Robust,FALSE
CD011885_pub2_data,3,6,0.509665447872769,51.1477281322885,0.455045499782884,FALSE,TRUE,1,0.412327365725995,0.42062878959791,0.450378196178678,0.293333333333333,Moderate,Low,FALSE
CD011885_pub2_data,4,8,-0.308756574361277,0,0,FALSE,FALSE,0,0.275847179687409,0.18,0.180556204068651,0.18,Low,Low,TRUE
CD011885_pub2_data,5,8,0.118778390705109,66.6866590385052,0.488203407024204,TRUE,FALSE,1,0.49505232716989,0.47587331807701,0.487508646799686,0.305,Moderate,Moderate,TRUE
CD011885_pub2_data,6,8,-0.101635105700079,0,0,TRUE,FALSE,1,0.254043426125222,0.26125,0.266997286794296,0.2425,Low,Low,TRUE
CD011885_pub2_data,7,10,0.192487895318267,48.6826368953952,0.304575162032003,FALSE,FALSE,0,0.328675121391457,0.24736527379079,0.24780778194962,0.15,Moderate,Robust,FALSE
CD011885_pub2_data,8,12,-0.150628052022634,0,0,TRUE,FALSE,1,0.215909327469205,0.174166666666667,0.178253204276293,0.161666666666667,Low,Low,TRUE
CD011885_pub2_data,10,4,0.407680434715797,36.346579815758,0.220004424264094,FALSE,FALSE,0,0.469281895571279,0.312693159631516,0.31357129600749,0.24,Moderate,Low,FALSE
CD011885_pub2_data,11,3,-0.0432171046585035,0,0,TRUE,FALSE,1,0.397377666038321,0.471666666666667,0.486625254138839,0.421666666666667,Moderate,Moderate,TRUE
CD011885_pub2_data,14,4,0.073348527037147,0,0,FALSE,FALSE,0,0.252214981465953,0.24,0.240081514724498,0.24,Low,Low,TRUE
CD011885_pub2_data,16,4,0.073348527037147,0,0,FALSE,FALSE,0,0.252214981465953,0.24,0.240081514724498,0.24,Low,Low,TRUE
CD011885_pub2_data,18,3,-0.0822803849407414,31.3376975565595,0.280199204779744,TRUE,FALSE,1,0.710193202221979,0.534342061779786,0.550747474795749,0.421666666666667,High,Moderate,FALSE
CD011885_pub2_data,25,3,0.706240247840696,41.1253776255298,0.476128629919808,FALSE,TRUE,1,0.590683683190018,0.553917421917726,0.61377238528958,0.421666666666667,High,Moderate,FALSE
CD011885_pub2_data,26,3,0.605197257152292,56.3405058032342,1.36813562753457,TRUE,FALSE,1,0.711871115227165,0.584347678273135,0.600541806425425,0.421666666666667,High,Moderate,FALSE
CD011885_pub2_data,42,3,0.425147472606702,0,0,FALSE,FALSE,0,0.361081103152685,0.255,0.255707915269621,0.255,Moderate,Low,FALSE
CD011885_pub2_data,44,3,-0.0742919994157811,73.322501799379,1.62532421094146,TRUE,TRUE,1,1,0.951645003598758,0.967670126537359,0.755,High,High,TRUE
CD011885_pub2_data,49,3,0.568154829031008,25.0508154352815,0.0969004614468216,FALSE,TRUE,1,0.543795782835616,0.52176829753723,0.581413681712283,0.421666666666667,High,Moderate,FALSE
CD011885_pub2_data,53,3,0.454605746590074,0,0,FALSE,FALSE,0,0.279770469155818,0.255,0.255165301762802,0.255,Low,Low,TRUE
