dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD013822_pub2_data,binary,90,58439,80.7,5.128,0.99,0.71458,conclusive_benefit,TRUE,0.912822074345025,Adequate
CD013823_pub2_data,binary,26,3183,51.5,0.451,0.212,0.42322,continue,FALSE,0.313788964339538,Inadequate
CD013827_pub2_data,binary,145,36461,5.9,4.419,0.181,0.74512,continue,FALSE,0.555471780546284,Marginal
CD013830_pub2_data,binary,150,53499,41.3,10.712,1,0.8761,conclusive_harm,TRUE,0.962829999266679,Adequate
CD013834_pub2_data,binary,86,3086,0,,0.063,0.7258,unknown,FALSE,0.50219,Marginal
CD013844_pub2_data,binary,100,60325,61,1.625,0.451,0.62722,continue,FALSE,0.516275972234938,Marginal
CD013853_pub2_data,binary,47,1807,0,0.116,0.028,0.67936,continue,FALSE,0.342166244963792,Inadequate
CD013857_pub2_data,binary,3,150,0,0.107,0.089,0.36066,continue,FALSE,0.255260767133542,Inadequate
CD013874_pub3_data,binary,117,75335,50.7,1.396,0.922,0.75052,conclusive_harm,TRUE,0.851108121591754,Adequate
CD013875_pub2_data,binary,80,7358,28.8,1.366,1,0.9136,conclusive_benefit,TRUE,0.909128801056769,Adequate
CD014040_pub2_data,binary,48,14774,54.4,8.77,0.998,0.81264,conclusive_benefit,TRUE,0.943491964347198,Adequate
CD014089_data,binary,9,402,46.4,0.08,0.309,0.32046,continue,FALSE,0.274898258515092,Inadequate
CD014145_pub2_data,binary,24,737,1.2,0.187,0.211,0.55776,continue,FALSE,0.336853811641738,Inadequate
CD014160_pub2_data,binary,6,408,0,,0.028,0.35118,unknown,FALSE,0.384554,Inadequate
CD014300_pub2_data,binary,34,19066,55.5,0.707,0.105,0.44804,futile,FALSE,0.466672633087284,Inadequate
CD014428_pub2_data,binary,42,2743,0,,0.039,0.64782,unknown,FALSE,0.475196,Inadequate
CD014497_pub2_data,binary,2,142,38,0.044,0.828,0.37648,continue,TRUE,0.367895265848364,Inadequate
CD014541_pub2_data,binary,94,557115,73.8,2.624,0.118,0.52504,futile,FALSE,0.61273223578692,Marginal
CD014544_pub2_data,binary,121,6891,40.2,0.697,0.946,0.79354,conclusive_benefit,TRUE,0.800556438210818,Adequate
