dataset,outcome_type,k,total_n,avg_n_per_study,p_control,effect_logOR,se,pval,I2,tau2,OIS,information_fraction,het_adj_power,z_score,sequential_status,IAI,IAI_class,significant
CD013781_pub2_data,binary,449,58716,130.8,0.1503,-0.3788,0.0534,1.29239007989014e-12,49.5,0.3531,8081,7.266,1,-7.095,conclusive_harm,0.95,Adequate,TRUE
CD013789_pub2_data,binary,385,25124,65.3,0,-0.1683,0.1028,0.101728956066697,0,0,,,0.373,-1.637,unknown,0.462,Inadequate,FALSE
CD013800_pub2_data,binary,140,1288423,9203,0.2849,-0.1713,0.0551,0.00186444333114948,98,0.2724,93506,13.779,0.875,-3.111,conclusive_harm,0.9125,Adequate,TRUE
CD013801_pub2_data,binary,29,1677,57.8,0.0449,0.4727,0.2851,0.097389518090826,25.7,0.5381,20420,0.082,0.381,1.658,continue,0.2794,Inadequate,FALSE
CD013810_pub2_data,binary,34,10977,322.9,0,-0.0257,0.3436,0.940473400225672,0,0,,,0.03,-0.075,unknown,0.3589,Inadequate,FALSE
CD013816_pub2_data,continuous,5,1777,355.4,,0.1157,0.2083,0.578582410154327,93.6,0.1952,5459,0.325,0.08,0.555,continue,0.2164,Critical,FALSE
CD013821_pub2_data,binary,90,93133,1034.8,0.1288,0.0674,0.102,0.508679893352231,87.1,0.4634,37597,2.477,0.097,0.661,futile,0.5993,Marginal,FALSE
CD013822_pub2_data,binary,90,58439,649.3,0.2495,0.4196,0.0981,1.88511763484622e-05,80.7,0.3653,11396,5.128,0.99,4.278,conclusive_benefit,0.9468,Adequate,TRUE
CD013823_pub2_data,binary,26,3183,122.4,0.1748,-0.2708,0.2331,0.24520430923417,51.5,0.481,7051,0.451,0.212,-1.162,continue,0.2738,Inadequate,FALSE
CD013827_pub2_data,binary,145,36461,251.5,0.0844,0.0504,0.0482,0.29529713894373,5.9,0.0178,8251,4.419,0.181,1.047,continue,0.5637,Marginal,FALSE
CD013830_pub2_data,binary,150,53499,356.7,0.1985,-0.4431,0.0494,3.03091656849632e-19,41.3,0.0732,4994,10.712,1,-8.968,conclusive_harm,0.95,Adequate,TRUE
CD013834_pub2_data,binary,86,3086,35.9,0,-0.0941,0.219,0.667394200144583,0,0,,,0.063,-0.43,unknown,0.3689,Inadequate,FALSE
CD013844_pub2_data,binary,100,60325,603.2,0.0469,-0.2009,0.1094,0.0661923288587746,61,0.3232,37120,1.625,0.451,-1.837,continue,0.5563,Marginal,FALSE
CD013853_pub2_data,binary,47,1807,38.4,0.0437,0.0117,0.2069,0.955036985793196,0,0,15603,0.116,0.028,0.056,continue,0.1768,Critical,FALSE
CD013857_pub2_data,binary,3,150,50,0.3467,-0.4465,0.7314,0.541524259391646,0,0,1406,0.107,0.089,-0.611,continue,0.194,Critical,FALSE
CD013874_pub3_data,binary,117,75335,643.9,0.0261,-0.4773,0.1414,0.00073396057258063,50.7,0.6724,53948,1.396,0.922,-3.377,conclusive_harm,0.8019,Adequate,TRUE
CD013875_pub2_data,binary,80,7358,92,0.1585,0.5971,0.0818,2.96981863963991e-13,28.8,0.1392,5388,1.366,1,7.296,conclusive_benefit,0.82,Adequate,TRUE
CD014040_pub2_data,binary,48,14774,307.8,0.5044,0.3658,0.0752,1.1494066306751e-06,54.4,0.1057,1685,8.77,0.998,4.864,conclusive_benefit,0.9494,Adequate,TRUE
CD014089_data,binary,9,402,44.7,0.2135,0.554,0.3792,0.144038582105507,46.4,0.5589,5004,0.08,0.309,1.461,continue,0.2575,Inadequate,FALSE
CD014145_pub2_data,binary,24,737,30.7,0.1568,-0.2808,0.2429,0.247643463257891,1.2,0.0174,3931,0.187,0.211,-1.156,continue,0.239,Critical,FALSE
CD014160_pub2_data,binary,6,408,68,0,-0.0435,0.8232,0.957906116097682,0,0,,,0.028,-0.053,unknown,0.3585,Inadequate,FALSE
CD014300_pub2_data,binary,34,19066,560.8,0.0561,-0.1307,0.1843,0.478404922317421,55.5,0.2938,26985,0.707,0.105,-0.709,futile,0.3646,Inadequate,FALSE
CD014428_pub2_data,binary,42,2743,65.3,0,-0.0614,0.3119,0.843840507626781,0,0,,,0.039,-0.197,unknown,0.3617,Inadequate,FALSE
CD014497_pub2_data,binary,2,142,71,0.2703,1.3963,0.4802,0.00363803727930746,38,0.1827,3203,0.044,0.828,2.908,continue,0.4101,Inadequate,TRUE
CD014541_pub2_data,binary,94,557115,5926.8,0.0126,-0.0471,0.0608,0.438773258023223,73.8,0.1759,212278,2.624,0.118,-0.774,futile,0.6104,Marginal,FALSE
CD014544_pub2_data,binary,121,6891,57,0.1082,0.5468,0.1532,0.000358279820223101,40.2,0.8987,9888,0.697,0.946,3.569,conclusive_benefit,0.675,Marginal,TRUE
CD014573_data,binary,12,1314910,109575.8,0,0.0014,0.5774,0.998013972994426,0,0,,,0.025,0.002,unknown,0.3575,Inadequate,FALSE
CD014574_pub2_data,binary,35,1696,48.5,0.533,-0.0364,0.1561,0.815383369958201,38.4,0.3088,1124,1.509,0.042,-0.233,futile,0.4965,Inadequate,FALSE
CD014580_pub2_data,binary,33,6122,185.5,0.1855,0.0228,0.2858,0.936402604785145,83.8,1.6169,19700,0.311,0.03,0.08,continue,0.1995,Critical,FALSE
CD014585_pub2_data,binary,101,62799,621.8,0.2425,-0.709,0.0857,1.32577450751901e-16,86.7,0.4991,17198,3.651,1,-8.271,conclusive_harm,0.948,Adequate,TRUE
CD014594_pub2_data,binary,105,54379,517.9,0.1225,-0.1635,0.1369,0.232509557435677,76.5,0.7911,21938,2.479,0.222,-1.194,continue,0.5568,Marginal,FALSE
CD014617_pub3_data,binary,12,3080,256.7,0.4045,0.0735,0.1311,0.574989023014386,18.8,0.0367,1373,2.244,0.081,0.561,futile,0.5836,Marginal,FALSE
CD014623_pub2_data,binary,5,195,39,0.2842,-0.3097,0.3798,0.41479370959448,0,0,1856,0.105,0.126,-0.815,continue,0.2051,Critical,FALSE
CD014624_pub2_data,binary,201,19945,99.2,0.2466,0.4838,0.0392,4.62598527610952e-35,7,0.0206,2405,8.293,1,12.354,conclusive_benefit,0.95,Adequate,TRUE
CD014666_pub2_data,binary,130,25180,193.7,0.0213,-0.1582,0.1319,0.230234818014096,4.1,0.0706,33988,0.741,0.224,-1.2,continue,0.3264,Inadequate,FALSE
CD014678_pub2_data,binary,223,741544,3325.3,0.0172,0.0797,0.0403,0.0478674511986139,64.9,0.1459,115541,6.418,0.507,1.979,conclusive_benefit,0.8022,Adequate,TRUE
CD014687_pub2_data,binary,38,2648,69.7,0.0833,0.6474,0.2282,0.00454911048452988,18.9,0.3121,9709,0.273,0.81,2.837,continue,0.4287,Inadequate,TRUE
CD014688_pub2_data,binary,13,2499,192.2,0,-0.3051,0.5566,0.583540725422587,0,0,,,0.079,-0.548,unknown,0.3737,Inadequate,FALSE
CD014713_pub2_data,binary,15,11421,761.4,0.3013,-0.0125,0.0775,0.871498631088294,47,0.0378,3233,3.533,0.036,-0.162,futile,0.5983,Marginal,FALSE
CD014722_pub2_data,continuous,332,60444,182.1,,-0.3441,0.0337,1.99289338315474e-24,93.4,0.3259,5321,11.358,1,-10.2,conclusive_harm,0.95,Adequate,TRUE
CD014736_pub2_data,binary,28,1463,52.2,0.067,-0.1124,0.2522,0.65565233517966,4,0.0708,10364,0.141,0.065,-0.446,continue,0.1904,Critical,FALSE
CD014741_pub2_data,binary,212,120056,566.3,0.0515,0.0557,0.0523,0.286542924863255,10.2,0.0304,14635,8.203,0.186,1.066,continue,0.5657,Marginal,FALSE
CD014755_pub2_data,binary,10,813,81.3,0.1477,-0.0311,0.2817,0.912016568326031,0,0,4162,0.195,0.032,-0.11,continue,0.1863,Critical,FALSE
CD014758_pub3_data,binary,274,49458,180.5,0,-0.1159,0.1214,0.339550065519688,0,0,,,0.157,-0.955,unknown,0.3972,Inadequate,FALSE
CD014762_pub2_data,binary,30,7370,245.7,0.3865,-0.0886,0.2063,0.6676180013661,89.3,0.9275,11196,0.658,0.063,-0.429,futile,0.3431,Inadequate,FALSE
CD014763_pub2_data,binary,68,4933,72.5,0.1475,-0.6781,0.1889,0.000331031485458209,39.5,0.7688,6897,0.715,0.948,-3.59,conclusive_harm,0.6791,Marginal,TRUE
CD014769_pub2_data,binary,345,1790948,5191.2,0.0338,-0.075,0.0172,1.30933523038531e-05,41.4,0.0219,34666,51.662,0.992,-4.359,conclusive_harm,0.9475,Adequate,TRUE
CD014785_pub2_data,binary,8,2846,355.8,0.0947,-0.0108,0.2946,0.970818290825442,16.8,0.1236,8234,0.346,0.027,-0.037,continue,0.2032,Critical,FALSE
CD014792_pub2_data,binary,68,8459,124.4,0.0943,-0.0594,0.0914,0.515793640327729,4.8,0.0254,7228,1.17,0.095,-0.65,futile,0.4523,Inadequate,FALSE
CD014802_pub2_data,binary,19,4380,230.5,0.2839,0.0614,0.1247,0.622357136055469,43.4,0.0996,3283,1.334,0.071,0.493,futile,0.4758,Inadequate,FALSE
CD014803_pub2_data,binary,14,540,38.6,0.195,0.0022,0.2519,0.992942109612084,0,0,2996,0.18,0.026,0.009,continue,0.1827,Critical,FALSE
CD014811_pub2_data,binary,33,3824,115.9,0.1215,-0.0078,0.1044,0.940544735235298,0,0,5197,0.736,0.03,-0.075,futile,0.3473,Inadequate,FALSE
CD014820_pub2_data,binary,687,166243,242,0.0934,-0.0583,0.0193,0.00256442615532732,0,0,6952,23.912,0.854,-3.016,conclusive_harm,0.9063,Adequate,TRUE
CD014833_pub2_data,binary,30,4424,147.5,0.3029,0.2886,0.1091,0.0081722476070549,33.2,0.0922,2546,1.737,0.753,2.645,conclusive_benefit,0.8015,Adequate,TRUE
CD014844_pub2_data,binary,40,45751,1143.8,0.0285,-0.2629,0.0855,0.00210457210517829,27.9,0.0664,33654,1.359,0.868,-3.075,conclusive_harm,0.7792,Adequate,TRUE
CD014845_pub2_data,binary,184,85750,466,0,-0.4022,0.1489,0.00690516237949358,0,0,,,0.771,-2.701,unknown,0.5812,Marginal,TRUE
CD014852_pub2_data,binary,202,69641,344.8,0.1021,-0.0699,0.0281,0.0129691458047661,0,0,6304,11.047,0.7,-2.485,conclusive_harm,0.86,Adequate,TRUE
CD014855_pub2_data,binary,72,7048,97.9,0.0743,0.4275,0.1465,0.00352685859165819,40.9,0.5168,15076,0.468,0.831,2.918,continue,0.4618,Inadequate,TRUE
CD014861_pub2_data,binary,42,2449,58.3,0.12,0.5014,0.1916,0.00888171042755362,0,0,5272,0.465,0.744,2.617,continue,0.4354,Inadequate,TRUE
CD014869_pub2_data,binary,34,5730,168.5,0.5959,0.0267,0.0703,0.703948529185573,0,0,552,10.373,0.057,0.38,futile,0.6071,Marginal,FALSE
CD014871_pub2_data,binary,99,2669,27,0,0.0342,0.205,0.867442135023999,0,0,,,0.036,0.167,unknown,0.3609,Inadequate,FALSE
CD014872_pub2_data,binary,335,84632,252.6,0.0774,0.7418,0.0585,8.45408228567404e-37,47.7,0.2822,16279,5.199,1,12.672,conclusive_benefit,0.9499,Adequate,TRUE
CD014889_pub2_data,binary,26,1674,64.4,0.2616,-1.105,0.1435,1.36142406969782e-14,0,0,2071,0.808,1,-7.7,conclusive_harm,0.7121,Marginal,TRUE
CD014891_pub2_data,binary,25,1470,58.8,0.1851,0.1061,0.1716,0.536438657537742,0,0,3192,0.46,0.09,0.618,continue,0.2384,Critical,FALSE
CD014914_pub2_data,binary,122,18522,151.8,0.2734,0.3655,0.0795,4.2541135720462e-06,63.9,0.4036,5408,3.425,0.996,4.599,conclusive_benefit,0.9456,Adequate,TRUE
CD014920_pub2_data,binary,9,3978,442,0.0916,-0.9129,0.4046,0.0240401288230143,79.3,0.8467,34237,0.116,0.617,-2.256,continue,0.3533,Inadequate,TRUE
CD014923_pub2_data,binary,27,1137,42.1,0.0426,1.3023,0.3174,4.07325463887725e-05,20.2,0.4769,20094,0.057,0.984,4.103,continue,0.4578,Inadequate,TRUE
CD014932_pub2_data,binary,53,8338,157.3,0,-0.0072,0.2767,0.979219535095911,0,0,,,0.027,-0.026,unknown,0.358,Inadequate,FALSE
CD014935_pub2_data,binary,29,1259,43.4,0.1435,0.0489,0.2512,0.845576642266683,42.7,0.7172,7507,0.168,0.039,0.195,continue,0.1853,Critical,FALSE
CD014937_pub2_data,binary,652,99041,151.9,0.1609,-0.3487,0.0381,5.44121648417579e-20,50.9,0.3421,7683,12.892,1,-9.155,conclusive_harm,0.95,Adequate,TRUE
CD014941_pub2_data,binary,60,15195,253.2,0.208,0.981,0.0835,6.77836719695432e-32,62.5,0.2324,7390,2.056,1,11.753,conclusive_benefit,0.9068,Adequate,TRUE
CD014944_pub2_data,binary,18,2239,124.4,0.3935,0.0768,0.2053,0.708342733554105,65.1,0.4331,3328,0.673,0.056,0.374,futile,0.3437,Inadequate,FALSE
CD014959_pub2_data,binary,62,31048,500.8,0.1025,-0.3374,0.2007,0.0926408650731424,92.6,1.8651,85269,0.364,0.39,-1.682,continue,0.3147,Inadequate,FALSE
CD014960_pub2_data,binary,17,2415,142.1,0.0291,0.173,0.2355,0.462427398768715,0,0,23699,0.102,0.11,0.735,continue,0.2,Critical,FALSE
CD014964_pub2_data,binary,522,56207,107.7,0.3218,0.7334,0.0503,3.91774610966632e-48,65.6,0.6683,4545,12.366,1,14.577,conclusive_benefit,0.95,Adequate,TRUE
CD014965_pub2_data,binary,177,13007,73.5,0.0417,0.7135,0.0945,4.23346941771162e-14,7.2,0.1052,17644,0.737,1,7.554,conclusive_benefit,0.6986,Marginal,TRUE
CD014966_pub2_data,binary,105,643669,6130.2,0.1948,-0.1,0.0403,0.012972334197537,92.9,0.0919,42417,15.175,0.7,-2.485,conclusive_harm,0.86,Adequate,TRUE
CD014967_pub2_data,binary,105,8773,83.6,0.217,0.0039,0.1128,0.97231207761973,57.3,0.5677,6158,1.425,0.027,0.035,futile,0.4783,Inadequate,FALSE
CD014999_pub2_data,binary,21,3486,166,0.0879,-0.4136,0.1376,0.00265199175804642,0,0,7432,0.469,0.852,-3.005,continue,0.4684,Inadequate,TRUE
CD015003_pub2_data,binary,26,3226,124.1,0.1733,0.147,0.1864,0.430245249595488,48.7,0.331,6724,0.48,0.121,0.789,continue,0.2506,Inadequate,FALSE
CD015014_pub2_data,binary,293,79059,269.8,0.1099,-0.0868,0.0336,0.00976912551638754,16.1,0.044,6926,11.416,0.734,-2.584,conclusive_harm,0.8701,Adequate,TRUE
CD015033_pub2_data,binary,154,11889,77.2,0.1688,-0.3061,0.109,0.00498482633229245,25.8,0.3328,4800,2.477,0.802,-2.808,conclusive_harm,0.8707,Adequate,TRUE
CD015038_pub2_data,binary,81,28228,348.5,0.1619,-0.4149,0.1813,0.0220974004594001,63.4,0.7634,10209,2.765,0.629,-2.289,conclusive_harm,0.8273,Adequate,TRUE
CD015040_pub2_data,binary,46,1941,42.2,0,-0.2113,0.3009,0.482555312889223,0,0,,,0.104,-0.702,unknown,0.3813,Inadequate,FALSE
CD015042_pub2_data,binary,12,1818,151.5,0.6146,0.1701,0.1988,0.392125334452734,49,0.1661,1012,1.797,0.135,0.856,futile,0.5629,Marginal,FALSE
CD015046_pub2_data,binary,14,563,40.2,0.153,0.3352,0.2615,0.199872903686894,0,0,3995,0.141,0.249,1.282,continue,0.2455,Critical,FALSE
CD015060_pub2_data,binary,27,1415,52.4,0.122,0.111,0.3299,0.736475682536237,41.5,1.0379,8843,0.16,0.052,0.337,continue,0.1885,Critical,FALSE
CD015064_pub2_data,binary,14,8382,598.7,0.14,0.4628,0.1904,0.0150581526505364,67.3,0.2231,13520,0.62,0.681,2.431,continue,0.4418,Inadequate,TRUE
CD015066_pub2_data,binary,8,1251,156.4,0.1059,1.2828,0.5106,0.011986757454139,40.8,0.6128,10234,0.122,0.71,2.513,continue,0.3819,Inadequate,TRUE
CD015083_pub2_data,binary,1589,755281,475.3,0,-0.0389,0.0504,0.440025585143576,0,0,,,0.117,-0.772,unknown,0.3852,Inadequate,FALSE
CD015084_pub2_data,binary,32,1448,45.2,0.1123,0.6563,0.1779,0.000224613126361985,1.4,0.0148,5756,0.252,0.958,3.69,continue,0.4706,Inadequate,TRUE
CD015087_pub2_data,binary,78,4814,61.7,0.2459,-0.2172,0.1459,0.136546150996354,54.7,0.7023,4956,0.971,0.319,-1.489,continue,0.3999,Inadequate,FALSE
CD015101_data,binary,41,2344,57.2,0.0028,-0.288,0.3102,0.353244315990417,0,0,249518,0.009,0.151,-0.928,continue,0.2038,Critical,FALSE
CD015120_pub2_data,binary,63,59332,941.8,0,0.4586,0.2525,0.0693314695171738,0,0,,,0.443,1.816,unknown,0.4829,Inadequate,FALSE
CD015122_pub2_data,binary,80,14896,186.2,0.1727,-0.2443,0.1122,0.0293982541219077,57.9,0.4144,8236,1.809,0.586,-2.178,conclusive_harm,0.7597,Adequate,TRUE
CD015123_pub2_data,binary,31,24303,784,0.2783,-0.4151,0.1726,0.0161439005827059,90.8,0.6364,20726,1.173,0.672,-2.406,conclusive_harm,0.6858,Marginal,TRUE
CD015134_pub2_data,binary,32,92843,2901.3,0.0325,-0.0638,0.0905,0.480685463037669,53.4,0.0675,45367,2.046,0.105,-0.705,futile,0.5775,Marginal,FALSE
CD015140_pub2_data,binary,154,28541,185.3,0.1162,-0.1337,0.1264,0.290534421733213,68.3,0.8909,17215,1.658,0.183,-1.057,continue,0.4804,Inadequate,FALSE
CD015145_pub2_data,binary,7,488,69.7,0.251,-0.667,0.2531,0.00840994638950696,0,0,2185,0.223,0.75,-2.635,continue,0.4049,Inadequate,TRUE
CD015158_pub2_data,binary,46,6559,142.6,0.0202,-0.0349,0.2068,0.86583335241423,0,0,34423,0.191,0.037,-0.169,continue,0.1871,Critical,FALSE
CD015160_pub2_data,binary,52,4614,88.7,0.0414,0.2998,0.1631,0.0661075120513104,9,0.1076,18103,0.255,0.451,1.838,continue,0.319,Inadequate,FALSE
CD015192_pub2_data,binary,67,11757,175.5,0.0342,-0.2715,0.1154,0.0186505979084518,0,0,20081,0.585,0.653,-2.352,continue,0.4273,Inadequate,TRUE
CD015213_pub2_data,binary,253,28413,112.3,0.0594,-0.4149,0.0769,6.86780139353018e-08,10.8,0.1484,12667,2.243,1,-5.395,conclusive_harm,0.9192,Adequate,TRUE
CD015215_pub2_data,binary,150,31599,210.7,0.0669,0.0906,0.1141,0.427343046847512,47.6,0.5826,18990,1.664,0.122,0.794,futile,0.5427,Marginal,FALSE
CD015219_pub2_data,binary,271,75396,278.2,0.0998,0.4648,0.0688,1.42893607487572e-11,79.2,0.7398,31136,2.421,1,6.755,conclusive_benefit,0.928,Adequate,TRUE
CD015229_pub2_data,continuous,54,2448,45.3,,-1.0245,0.1536,2.54787871432884e-11,91.2,1.1006,3973,0.616,1,-6.671,conclusive_harm,0.6768,Marginal,TRUE
CD015252_pub2_data,binary,66,9384,142.2,0.3807,-0.5262,0.1065,7.7487336621483e-07,57.5,0.3467,2881,3.257,0.999,-4.942,conclusive_harm,0.9452,Adequate,TRUE
CD015254_pub2_data,binary,76,10958,144.2,0.6024,-0.786,0.135,5.81530893676506e-09,79.4,0.8918,2615,4.19,1,-5.822,conclusive_harm,0.9493,Adequate,TRUE
CD015255_pub2_data,binary,102,12252,120.1,0.5283,-0.6724,0.1023,4.97937122185274e-11,72.2,0.6348,2531,4.842,1,-6.572,conclusive_harm,0.9498,Adequate,TRUE
CD015284_pub2_data,binary,166,19608,118.1,0.0943,0.1967,0.0838,0.018937608177636,10.3,0.0758,7670,2.557,0.651,2.347,conclusive_benefit,0.8281,Adequate,TRUE
CD015313_pub2_data,binary,3,156,52,0,0,1.1655,1,0,0,,,0.025,0,unknown,0.3575,Inadequate,FALSE
CD015314_pub2_data,binary,71,25624,360.9,0.1741,0.4858,0.0661,1.96226049508138e-13,66.3,0.1543,10179,2.517,1,7.351,conclusive_benefit,0.9316,Adequate,TRUE
CD015326_pub2_data,binary,433,196444,453.7,0,-0.0406,0.0964,0.673330388509201,0,0,,,0.062,-0.422,unknown,0.3686,Inadequate,FALSE
CD015331_pub2_data,binary,984,66831,67.9,0.051,-0.0488,0.0392,0.212976720928732,0,0,13277,5.034,0.237,-1.245,continue,0.5811,Marginal,FALSE
CD015332_pub2_data,binary,252,11046,43.8,0.0551,-0.1164,0.0878,0.184647257882435,0,0,12227,0.903,0.263,-1.327,continue,0.3697,Inadequate,FALSE
CD015350_pub2_data,binary,58,6578,113.4,0.2556,0.0907,0.0898,0.312478938853662,0,0,2135,3.081,0.171,1.01,continue,0.5552,Marginal,FALSE
CD015373_pub2_data,binary,99,3675,37.1,0.1613,0.4962,0.1239,6.21339686704671e-05,24.1,0.3351,4951,0.742,0.98,4.005,conclusive_benefit,0.6934,Marginal,TRUE
CD015383_pub2_data,binary,22,531,24.1,0,0.0054,0.4378,0.990129041844575,0,0,,,0.026,0.012,unknown,0.3577,Inadequate,FALSE
CD015387_pub2_data,binary,146,34302,234.9,0.2989,-0.0657,0.0573,0.251588874719939,71.6,0.2524,6102,5.621,0.208,-1.146,continue,0.5724,Marginal,FALSE
CD015395_pub3_data,binary,17,18570,1092.4,0.0847,-0.9931,0.2878,0.000559087884058907,90.4,0.9752,80407,0.231,0.932,-3.451,continue,0.4603,Inadequate,TRUE
CD015432_pub2_data,binary,152,11026,72.5,0.1371,-0.2356,0.0795,0.00302939873735553,8.8,0.0735,4971,2.218,0.842,-2.965,conclusive_harm,0.8706,Adequate,TRUE
CD015443_pub2_data,binary,88,48453,550.6,0.1817,-0.103,0.0762,0.17642334970086,79.4,0.2799,15854,3.056,0.272,-1.352,continue,0.585,Marginal,FALSE
CD015448_pub2_data,binary,46,5359,116.5,0,-0.0157,0.2971,0.957732106504967,0,0,,,0.028,-0.053,unknown,0.3585,Inadequate,FALSE
CD015462_pub2_data,binary,36,3340,92.8,0.1021,-0.0474,0.1318,0.719284220188876,0.9,0.0058,6367,0.525,0.055,-0.359,futile,0.3179,Inadequate,FALSE
CD015476_pub2_data,binary,192,178615,930.3,0.2389,0.3257,0.0213,6.78247543651666e-53,42.4,0.0265,4042,44.187,1,15.308,conclusive_benefit,0.95,Adequate,TRUE
CD015495_data,binary,41,7957,194.1,0.0266,0.5402,0.1678,0.00128426704696642,0,0,26072,0.305,0.896,3.219,continue,0.4586,Inadequate,TRUE
CD015514_pub2_data,binary,10,1482,148.2,0.2632,-0.2371,0.2892,0.412299538848647,68.6,0.4539,6543,0.227,0.127,-0.82,continue,0.2183,Critical,FALSE
CD015517_data,binary,217,21076,97.1,2e-04,-0.0856,0.1354,0.527369980956362,0,0,3551355,0.006,0.092,-0.632,continue,0.1858,Critical,FALSE
CD015518_data,binary,208,18320,88.1,0,-0.0536,0.1397,0.701042102073037,0,0,,,0.058,-0.384,unknown,0.3673,Inadequate,FALSE
CD015519_pub2_data,binary,39,3516,90.2,6e-04,0.0597,0.316,0.850084837179849,0,0,1259138,0.003,0.038,0.189,continue,0.1694,Critical,FALSE
CD015520_data,binary,104,8477,81.5,0,-0.1699,0.1978,0.390250566797404,0,0,,,0.135,-0.859,unknown,0.3906,Inadequate,FALSE
CD015524_pub2_data,continuous,194,14817,76.4,,0.0189,0.0344,0.582460078574245,73.7,0.1558,1325,11.187,0.079,0.55,futile,0.6138,Marginal,FALSE
CD015526_pub2_data,binary,8,148,18.5,0.2763,-1.2268,0.6086,0.0438302406134089,11.7,0.3509,2183,0.068,0.522,-2.016,continue,0.3203,Inadequate,TRUE
CD015530_pub2_data,binary,18,24450,1358.3,0.1797,0.2868,0.2398,0.231742900385358,96.9,0.9051,105051,0.233,0.222,1.196,continue,0.2477,Critical,FALSE
CD015532_data,binary,139,21334,153.5,0.2708,0.076,0.061,0.212795440579418,33.3,0.1202,2970,7.184,0.238,1.246,continue,0.5813,Marginal,FALSE
CD015536_pub2_data,binary,247,29175,118.1,0.2103,-0.4489,0.0827,5.7057031181116e-08,46.4,0.5406,5096,5.725,1,-5.428,conclusive_harm,0.9499,Adequate,TRUE
CD015551_pub2_data,binary,26,28022,1077.8,0.1732,0.1933,0.2642,0.464468666107277,96.9,1.5127,113016,0.248,0.11,0.732,continue,0.2156,Critical,FALSE
CD015573_data,binary,9,584,64.9,0.0845,-0.3092,0.4031,0.44303490340568,0,0,7758,0.075,0.116,-0.767,continue,0.1993,Critical,FALSE
CD015584_pub2_data,binary,115,12566,109.3,0.2959,0.4193,0.1089,0.000118220369451395,27.9,0.2574,2437,5.156,0.971,3.85,conclusive_benefit,0.9411,Adequate,TRUE
CD015588_pub2_data,binary,383,794357,2074,0.0362,-0.1155,0.0286,5.28019865681314e-05,50.1,0.0646,37955,20.929,0.981,-4.043,conclusive_harm,0.9444,Adequate,TRUE
CD015592_pub3_data,binary,11,4165,378.6,0.2029,0.1275,0.2835,0.652950670528724,74.9,0.3806,11393,0.366,0.065,0.45,continue,0.2174,Critical,FALSE
CD015594_pub2_data,binary,5,324,64.8,0.0595,-0.5339,0.5503,0.332016706845631,0,0,11276,0.029,0.161,-0.97,continue,0.2085,Critical,FALSE
CD015636_pub2_data,binary,2,12612,6306,0,0.1576,1.4143,0.911268290115047,0,0,,,0.032,0.111,unknown,0.3597,Inadequate,FALSE
CD015673_pub2_data,binary,85,19721,232,0.226,-0.0572,0.0688,0.406184752978163,27,0.073,3424,5.76,0.129,-0.831,futile,0.6288,Marginal,FALSE
CD015698_pub2_data,binary,10,793,79.3,0.0515,0.2331,0.326,0.474603335136954,0,0,13135,0.06,0.107,0.715,continue,0.195,Critical,FALSE
CD015701_pub2_data,binary,19,66246,3486.6,0.0612,-0.2014,0.0914,0.0275902684414805,81.6,0.1156,59580,1.112,0.596,-2.203,conclusive_harm,0.6511,Marginal,TRUE
CD015711_pub2_data,binary,15,1396,93.1,0.5228,0.024,0.3504,0.945477949455302,56.2,0.8059,1639,0.852,0.029,0.068,futile,0.3693,Inadequate,FALSE
CD015721_pub2_data,binary,41,16041,391.2,0.3545,0.1233,0.0393,0.00172373146093605,0,0,1361,11.785,0.88,3.134,conclusive_benefit,0.9139,Adequate,TRUE
CD015746_pub2_data,binary,89,1382064,15528.8,0.0046,-0.5509,0.1187,3.44268772869558e-06,84.8,0.6092,1010301,1.368,0.996,-4.642,conclusive_harm,0.8193,Adequate,TRUE
CD015749_pub2_data,binary,56,5548,99.1,0.0115,0.0554,0.1983,0.779929518219652,0,0,61271,0.091,0.046,0.279,continue,0.1798,Critical,FALSE
CD015751_pub2_data,binary,33,1766,53.5,0.0064,-0.1285,0.3163,0.684517565902272,0,0,109732,0.016,0.06,-0.406,continue,0.1771,Critical,FALSE
CD015779_data,binary,22,11346,515.7,0.0666,-0.7432,0.388,0.0553891681671271,86.7,2.1606,75488,0.15,0.482,-1.916,continue,0.3165,Inadequate,FALSE
CD015786_pub2_data,binary,41,19902,485.4,0.0247,-0.9646,0.1811,1.004013273598e-07,25.3,0.2447,37591,0.529,1,-5.326,conclusive_harm,0.6622,Marginal,TRUE
CD015788_pub2_data,binary,22,5139,233.6,0.1773,0.3801,0.1974,0.0542204296108889,43.7,0.2161,5966,0.861,0.486,1.925,continue,0.4283,Inadequate,FALSE
CD015790_pub2_data,binary,54,7890,146.1,0.0088,0.0906,0.1957,0.643330583794464,0,0,79960,0.099,0.067,0.463,continue,0.1868,Critical,FALSE
CD015802_pub2_data,binary,7,958,136.9,0.0998,-0.7529,0.3081,0.0145444793470393,10.2,0.0724,7200,0.133,0.686,-2.444,continue,0.3757,Inadequate,TRUE
CD015804_pub2_data,binary,60,23817,397,0.2076,-0.0937,0.0554,0.0907819403937318,0,0,2776,8.58,0.394,-1.691,continue,0.6282,Marginal,FALSE
CD015820_pub2_data,binary,30,1704,56.8,0.0419,0.0024,0.2454,0.99215463627495,0,0,16302,0.105,0.026,0.01,continue,0.1749,Critical,FALSE
