"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat"
"CD015875_32","CD015875",32,"MD",4,0.911447751386884,0.71852243578292,0.522026744210261,0.726528105752812,-0.496830344831633,2.3197258476054,-0.749874331984345,2.57276983475811,1.17968325136362,0.204618436672433,0.179150909184537,FALSE,FALSE,FALSE,0.567563432871657,7.02277752070979,0.186120347596678,"Very Low","4-5"
"CD015875_33","CD015875",33,"MD",4,-11.7369962101593,6.44559780794293,4.90446345418103,0.760901253897232,-24.3701357725577,0.896143352239196,-27.3451878093167,3.87119538899812,1.23549585770539,0.0686171728688689,0.0964694135713968,FALSE,FALSE,FALSE,59.6583101412242,26.7439443001964,0.490920642937732,"Low","4-5"
"CD015877_1","CD015877",1,"MD",3,0.585424993063823,1.0234389342339,1.11797925361074,1.09237514444142,-1.42047845841068,2.59132844453833,-4.22485149428768,5.39570148041532,2.39805982875973,0.567310110633674,0.652765610416067,FALSE,FALSE,FALSE,2.18555069494133,72.3750696736665,0.361452693443495,"Low","2-3"
"CD015894_pub2_2","CD015894_pub2",2,"GIV",8,0,0.0864281193184176,0,0,-0.169396001115629,0.169396001115629,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD015932_pub2_10","CD015932_pub2",10,"GIV",2,0.0703005355921254,0.165441557088362,0.0662812260163,0.40063226666139,-0.253958957847291,0.394560029031542,-0.771882292335652,0.912483363519903,2.59724956390561,0.670890107015123,0.481271044763421,FALSE,FALSE,FALSE,0,0,0.999999999926538,"Excellent","2-3"
"CD015932_pub2_11","CD015932_pub2",11,"logRR",3,-0.178406784414778,0.390584413060409,0.427073781412449,1.09342248981758,-0.943938166935896,0.58712459810634,-2.01595695581348,1.65914338698392,2.40035903602947,0.647837213766453,0.716712189773004,FALSE,FALSE,FALSE,0.312575994047846,71.4398966296849,0.375927748725845,"Low","2-3"
"CD015932_pub2_12","CD015932_pub2",12,"logRR",9,-0.339697683409696,0.0941500349286933,0.10805999081169,1.14774243996332,-0.524228361013123,-0.155167005806269,-0.588884469071577,-0.0905108977478153,1.35038135066846,0.000308511465151869,0.0137303657605943,TRUE,TRUE,FALSE,0.0549416760084733,95.1887530319981,0.620106850638505,"Moderate","6-10"
"CD015932_pub2_15","CD015932_pub2",15,"logRR",4,-0.395535065142873,0.103828665482468,0.117047922072004,1.12731798610827,-0.599035510051367,-0.19203462023438,-0.76803379228206,-0.0230363380036872,1.83045657372732,0.000139249386781992,0.0431149806445569,TRUE,TRUE,FALSE,3.00015761163945e-06,0.00595551240690142,0.762088276335153,"High","4-5"
"CD015932_pub2_6","CD015932_pub2",6,"GIV",2,-0.16261254975421,0.41204474615023,0.41204474615023,1,-0.97020541222761,0.644980312719191,-5.39813745480417,5.07291235529575,6.48287664283611,0.693102836667776,0.760704872440795,FALSE,FALSE,FALSE,0.317126029542,93.3036159691052,0.819864129700208,"High","2-3"
"CD015932_pub2_7","CD015932_pub2",7,"logRR",3,-0.11477664984447,0.0835335824176177,0.0325219313214204,0.389327625850287,-0.278499462882609,0.0489461631936691,-0.254707226421304,0.0251539267323642,0.854679772355472,0.169436079514618,0.0717529918000943,FALSE,FALSE,FALSE,0,0,0.896609979458948,"High","2-3"
